Internal Project Id,Transliterated Arabic Title,Chinese Title,Author,Assembler,Editor,Scrivener,Translator,Type of Publication,Place of Publication,Publisher,Year of Publication,Standardized Year of Publication,Language,Number of Pages,Description,Notes
text_001,Madā'iḥ,曼丹叶合,,,Chen Hui 陈辉,Wang Yaocheng 王耀成,Ma Jinpeng 马金鹏,Book,Hong Kong,Tianma Publishing House,2011,2011,Arabic||Chinese,359,A published edition of Madā'iḥ,Scanned and uploaded online for circulation by Wang Decheng 王德诚
text_002,Asās al-Ulūm ma'a al-Sharḥ al-Ṣīnī wa al-Ḥarakāt wa al-I'rāb,连五本,,,,,,Manuscript,Unidentified,Unidentified,Circa. 1937,1937,Arabic||Persian||Chinese,195,Five books in one volume. Three books can be identified as Ṣarf-e Mīr by 'Ali ibn Muḥammad ibn 'Ali al-Ḥusaynī al-Jurjānī (d.1413); Taṣrīf 'Izzī by 'Izzi al-Din al-Zanjānī (d.1237); and Mi’at 'Āmil by 'Abd al-Qāhir al-Jurjānī (d.1078/1081).,Popular volume for teaching Arabic grammar among Sino-Muslims. Widely used in the Muslim world. Manuscript is likely of a more recent printing of a text copied circa. 1930s. When the text was initially compiled is unknown. 
text_003,Marāḥ al-Arwāḥ ma'a Ḥawāsh Jayyidah,,,,Sayyid Muḥammad 'Abu al-'Alīm,,,Book,Dehli,Matba'-i Mujtaba'i,Circa. 1932,1932,Arabic||Persian,98,A commentary on Marāḥ al-Arwāḥ by Aḥmad bn 'Alī bn Mas'ūd Abū al-Faḍā'il Ḥusām al-Dīn (d. circa. 1301),"Main text is a famous textbook for teaching Arabic grammar. Commentary is a mix of Arabic and Persian, no Chinese marginalia. "
text_004,Hātha al-Kitāb al-Jahrī,哲罕耶道统史传,Manṣūr Ma Xuezhi 马学智; with a preface by Guo Nanpu 郭南浦,Guo Nanpu 郭南浦,Tian Daxi 田大璽,Tian Daxi 田大璽,,Manuscript,Ningxia,Self-published by followers of Jahriyya,1934,1934,Arabic||Persian||Chinese,437,A self-published reprint manuscript of China's Sufi Jahriyya hagiography. Hand-written table of content added by unknown Jahriyya disciple. Date of reprint is circa. 2018. Text scanned by an unknown Jahriyya follower. Acquired by Guangtian Ha from Yang Chengbin.,"From chapter eight onward the text is likely the work of multiple scholars. According to preface, the original manuscript was assembled after the death of the author Ma Xuezhi. This hagiography is the last of the three major Jahriyya hagiographies."
text_005,Judūl al-Qawā'd al-Ṣarfiyya,阿拉伯文简明语法 第二版,,,Ma Xiqing 马希庆,,Ma Xiqing 马希庆,Book,"Linxia, Gansu",Puzi Mosque 堡子清真寺,2000,2000,Chinese||Arabic,82,Arabic grammar book.,"The text adapts traditional Arabic curriculum to present needs. Chinese instructions exhibit features of contemporary language usage, likely the work of Ma Xiqing. Arrangment of material still follows the structure of classical Arabic pedagogy historically popular among Sinophone Muslims. First edition was published in 1990, second edition in 1994. Current text is a reprint from the second edition. "
text_006,Qawā'id al-Naḥu wa I'rāb,,,,,,,Manuscript,,,,,Chinese||Arabic,78,Pamphlet on Arabic grammar.,"Little is known of the text's origin, its author, or its year of publication. The text is an exemplar of xiao'erjing or xiaojing, which refers to the practice of using Arabic script -- with a few additional letters invented to cover sounds in Chinese that have no correlates in Arabic -- to transliterate Chinese. The text preserves much of the oral nature of the instruction and is thus akin to lecture notes. "
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
